text	label
Monsieur Roger,	DirectSpeech
voici un élève que je vous recommande, il entre en cinquième. Si son travail et sa conduite sont méritoires, il passera dans les grands, où l'appelle son âge.	DirectSpeech
-- Levez-vous,	DirectSpeech
-- Débarrassez-vous donc de votre casque,	DirectSpeech
-- Levez-vous,	DirectSpeech
et dites-moi votre nom.	DirectSpeech
-- Répétez !	DirectSpeech
-- Plus haut !	DirectSpeech
plus haut !	DirectSpeech
-- Que cherchez-vous ?	DirectSpeech
-- Ma cas...,	DirectSpeech
-- Cinq cents vers à toute la classe !	DirectSpeech
-- Restez donc tranquilles !	DirectSpeech
Quant à vous, le nouveau, vous me copierez vingt fois le verbe ridiculus sum.	DirectSpeech
Eh ! vous la retrouverez, votre casquette ; on ne vous l'a pas volée !	DirectSpeech
-- Je sais ce que c'est !	DirectSpeech
-- S'il me la demande,	DirectSpeech
je la lui donne.	DirectSpeech
Maître Rouault,	DirectSpeech
je voudrais bien vous dire quelque chose.	DirectSpeech
-- Mais contez-moi votre histoire ! est-ce que je ne sais pas tout ?	DirectSpeech
-- Père Rouault..., père Rouault...,	DirectSpeech
-- Moi, je ne demande pas mieux,	DirectSpeech
-- Les sous-pieds vont me gêner pour danser,	DirectSpeech
-- Danser ?	DirectSpeech
-- Oui !	DirectSpeech
-- Mais tu as perdu la tête ! on se moquerait de toi, reste à ta place. D'ailleurs, c'est plus convenable pour un médecin,	DirectSpeech
-- Laisse-moi !	DirectSpeech
tu me chiffonnes.	DirectSpeech
-- Que vous seriez bon, monsieur,	DirectSpeech
de vouloir bien ramasser mon éventail, qui est derrière ce canapé !	DirectSpeech
-- Il y a même deux cigares dedans,	DirectSpeech
; ce sera pour ce soir, après dîner.	DirectSpeech
-- Tu fumes donc ?	DirectSpeech
-- Quelquefois, quand l'occasion se présente.	DirectSpeech
-- Partez !	DirectSpeech
C'est se moquer, je vous chasse.	DirectSpeech
Cela fait plaisir de se retrouver chez soi !	DirectSpeech
-- Est-ce que tu l'as renvoyée pour tout de bon ?	DirectSpeech
-- Oui. Qui m'en empêche ?	DirectSpeech
-- Tu vas te faire mal,	DirectSpeech
Ils y seront demain !	DirectSpeech
-- Quel pauvre homme ! quel pauvre homme !	DirectSpeech
-- J'ai tout lu,	DirectSpeech
-- Vous vous nourrissez des morts, Lestiboudois !	DirectSpeech
un jour, M. le curé.	DirectSpeech
-- Artémise !	DirectSpeech
-- Le mal ne serait pas grand,	DirectSpeech
vous en achèteriez un autre.	DirectSpeech
-- Un autre billard !	DirectSpeech
-- Ce ne sont pas des gueux comme lui qui nous font peur !	DirectSpeech
-- L'attendez-vous pour le dîner de vos messieurs ?	DirectSpeech
-- C'est qu'il y a bien de la différence, voyez-vous, entre quelqu'un qui a reçu de l'éducation et un ancien carabinier qui est percepteur.	DirectSpeech
-- Ce ne sont pas les civilités qui lui useront la langue !	DirectSpeech
-- Jamais il ne cause davantage,	DirectSpeech
-- Oui,	DirectSpeech
pas d'imagination, pas de saillies, rien de ce qui constitue l'homme de société !	DirectSpeech
-- On dit pourtant qu'il a des moyens,	DirectSpeech
-- Des moyens ?	DirectSpeech
lui ! des moyens ? Dans sa partie, c'est possible,	DirectSpeech
-- Qu'y a-t-il pour votre service, monsieur le curé ?	DirectSpeech
voulez-vous prendre quelque chose ? un doigt de cassis, un verre de vin ?	DirectSpeech
-- Bravo !	DirectSpeech
-- Taisez-vous donc, monsieur Homais ! vous êtes un impie ! vous n'avez pas de religion !	DirectSpeech
-- N'y retournons pas de sitôt, ce serait une faute.	DirectSpeech
Mais, si du premier jour elle m'a aimé, elle doit, par l'impatience de me revoir, m'aimer davantage. Continuons donc !	DirectSpeech
-- Moi,	DirectSpeech
j'ai eu des affaires. J'ai été malade.	DirectSpeech
-- Gravement ?	DirectSpeech
-- Eh bien,	DirectSpeech
non !... C'est que je n'ai pas voulu revenir.	DirectSpeech
-- Pourquoi ?	DirectSpeech
-- Vous ne devinez pas ?	DirectSpeech
-- Emma... -- Monsieur !	DirectSpeech
-- Ah ! vous voyez bien,	DirectSpeech
-- D'un autre !	DirectSpeech
-- Mais, si je ne suis pas venu,	DirectSpeech
-- Oh ! vous êtes bon !	DirectSpeech
-- Non, je vous aime, voilà tout ! Vous n'en doutez pas ! Dites-le-moi ; un mot ! un seul mot !	DirectSpeech
-- Que vous seriez charitable,	DirectSpeech
de satisfaire une fantaisie !	DirectSpeech
-- Bonjour, docteur,	DirectSpeech
-- Madame m'entretenait,	DirectSpeech
de sa santé...	DirectSpeech
-- Certes ! excellent, parfait !... Voilà une idée ! Tu devrais la suivre.	DirectSpeech
-- J'y passerai,	DirectSpeech
-- Non, non, je vous l'enverrai ; nous viendrons, ce sera plus commode pour vous.	DirectSpeech
-- Ah ! fort bien. Je vous remercie.	DirectSpeech
Pourquoi n'acceptes-tu pas les propositions de M. Boulanger, qui sont si gracieuses ?	DirectSpeech
-- Ah ! je m'en moque pas mal !	DirectSpeech
La santé avant tout ! Tu as tort !	DirectSpeech
-- Eh ! comment veux-tu que je monte à cheval, puisque je n'ai pas d'amazone ?	DirectSpeech
-- Il faut t'en commander une !	DirectSpeech
Un malheur arrive si vite ! Prenez garde ! Vos chevaux peut-être sont fougueux !	DirectSpeech
-- Bonne promenade !	DirectSpeech
De la prudence, surtout ! de la prudence !	DirectSpeech
-- Dieu nous protège !	DirectSpeech
-- Vous croyez ?	DirectSpeech
-- Avançons ! avançons !	DirectSpeech
-- Je suis fatiguée,	DirectSpeech
-- Allons, essayez encore !	DirectSpeech
Du courage !	DirectSpeech
-- Où allons-nous donc ?	DirectSpeech
Est-ce que nos destinées maintenant ne sont pas communes.	DirectSpeech
-- Eh non !	DirectSpeech
Vous le savez bien. C'est impossible.	DirectSpeech
Ah ! tenez, n'en parlons plus... Où sont les chevaux ? Retournons.	DirectSpeech
Où sont les chevaux ? où sont les chevaux ?	DirectSpeech
Oh ! vous me faites peur ! vous me faites mal ! Partons.	DirectSpeech
-- Puisqu'il le faut,	DirectSpeech
-- Oh ! encore,	DirectSpeech
Ne partons pas ! Restez !	DirectSpeech
-- J'ai tort, j'ai tort,	DirectSpeech
Je suis folle de vous entendre.	DirectSpeech
-- Pourquoi ?... Emma ! Emma !	DirectSpeech
-- Oh ! Rodolphe !...	DirectSpeech
-- Emma !	DirectSpeech
-- Quoi ?	DirectSpeech
Pensant même que cela te serait agréable, je l'ai retenue..., je l'ai achetée... Ai-je bien fait ? Dis-moi donc.	DirectSpeech
Sors-tu ce soir ?	DirectSpeech
-- Oui. Pourquoi ?	DirectSpeech
-- Oh ! rien, rien, mon ami.	DirectSpeech
-- Te voilà ! te voilà !	DirectSpeech
Comment as-tu fait pour venir ?... Ah ! ta robe est mouillée !	DirectSpeech
-- Je t'aime !	DirectSpeech
-- Qu'as-tu donc ?	DirectSpeech
Souffres-tu ? Parle-moi !	DirectSpeech
Adieu ! adieu !	DirectSpeech
-- Modérez-vous !	DirectSpeech
-- Oui,	DirectSpeech
je serai raisonnable, je ne ferai pas de mal. Mais laissez-moi ! je veux la voir ! c'est ma femme ! Et il	DirectSpeech
-- Pleurez,	DirectSpeech
donnez cours à la nature, cela vous soulagera !	DirectSpeech
-- Allons, bon ! comme si je n'avais pas d'autres chiens à fouetter ! Ah ! tant pis, reviens plus tard !	DirectSpeech
-- Il faudrait à présent,	DirectSpeech
fixer vous-même l'heure de la cérémonie.	DirectSpeech
-- Pourquoi ? quelle cérémonie ?	DirectSpeech
Oh ! non, n'est-ce pas ? non, je veux la garder.	DirectSpeech
-- Ah ! merci,	DirectSpeech
vous êtes bon !	DirectSpeech
-- Du reste, les beaux jours maintenant vont revenir.	DirectSpeech
-- Ah !	DirectSpeech
-- Tiens, voilà M. Tuvache qui passe.	DirectSpeech
-- M. Tuvache qui passe.	DirectSpeech
Ce velours me paraît une superfétation. La dépense, d'ailleurs...	DirectSpeech
-- Est-ce que cela vous regarde ?	DirectSpeech
Laissez-moi ! vous ne l'aimiez pas ! Allez-vous-en !	DirectSpeech
-- Je l'exècre, votre Dieu !	DirectSpeech
-- L'esprit de révolte est encore en vous,	DirectSpeech
-- Cependant,	DirectSpeech
-- Mais,	DirectSpeech
puisque Dieu connaît tous nos besoins, à quoi peut servir la prière ?	DirectSpeech
-- Comment !	DirectSpeech
la prière ! Vous n'êtes donc pas chrétien ?	DirectSpeech
-- Pardonnez !	DirectSpeech
J'admire le christianisme. Il a d'abord affranchi les esclaves, introduit dans le monde une morale...	DirectSpeech
-- Il ne s'agit pas de cela ! Tous les textes...	DirectSpeech
-- Oh ! oh ! quant aux textes, ouvrez l'histoire ; on sait qu'ils ont été falsifiés par les jésuites.	DirectSpeech
-- Allons, mon bon ami,	DirectSpeech
retirez-vous, ce spectacle vous déchire !	DirectSpeech
-- Lisez Voltaire !	DirectSpeech
; lisez d'Holbach, lisez l'Encyclopédie !	DirectSpeech
-- Lisez les Lettres de quelques juifs portugais !	DirectSpeech
; lisez la Raison du christianisme, par Nicolas, ancien magistrat !	DirectSpeech
Ah ! ma pauvre maîtresse ! ma pauvre maîtresse !	DirectSpeech
-- Regardez-la,	DirectSpeech
comme elle est mignonne encore ! Si l'on ne jurerait pas qu'elle va se lever tout à l'heure.	DirectSpeech
-- Ah ! mon Dieu ! la robe, prenez garde !	DirectSpeech
Aidez-nous donc ! disait-elle au pharmacien. Est-ce que vous avez peur, par hasard ?	DirectSpeech
-- Moi, peur ?	DirectSpeech
Le coup, vous comprenez, est encore trop récent !	DirectSpeech
-- Car,	DirectSpeech
il n'est pas naturel qu'un homme se passe de femmes ! On a vu des crimes...	DirectSpeech
-- Mais, sabre de bois !	DirectSpeech
comment voulez-vous qu'un individu pris dans le mariage puisse garder, par exemple, le secret de la confession ?	DirectSpeech
-- Allons, une prise !	DirectSpeech
Acceptez, cela dissipe.	DirectSpeech
-- Entendez-vous un chien qui hurle ?	DirectSpeech
-- On prétend qu'ils sentent les morts,	DirectSpeech
C'est comme les abeilles : elles s'envolent de la ruche au décès des personnes. Homais ne releva pas ces préjugés, car il s'était rendormi. M. Bournisien,	DirectSpeech
-- Coupez-en !	DirectSpeech
Ma foi, je me sustenterais avec plaisir !	DirectSpeech
Nous finirons par nous entendre !	DirectSpeech
Ma fille ! Emma ! mon enfant ! expliquez-moi... ?	DirectSpeech
Je ne sais pas, je ne sais pas ! c'est une malédiction !	DirectSpeech
-- Ces horribles détails sont inutiles. J'en instruirai monsieur. Voici le monde qui vient. De la dignité, fichtre ! de la philosophie !	DirectSpeech
-- Oui..., du courage !	DirectSpeech
-- Eh bien,	DirectSpeech
j'en aurai, nom d'un tonnerre de Dieu ! Je m'en vas la conduire jusqu'au bout.	DirectSpeech
-- Dépêchez-vous donc ! Je souffre, moi !	DirectSpeech
-- Cette pauvre petite dame ! quelle douleur pour son mari !	DirectSpeech
Sans moi, savez-vous bien, il se serait porté sur lui-même à quelque attentat funeste !	DirectSpeech
-- Une si bonne personne ! Dire pourtant que je l'ai encore vue samedi dernier dans ma boutique !	DirectSpeech
-- Je n'ai pas eu le loisir,	DirectSpeech
de préparer quelques paroles que j'aurais jetées sur sa tombe.	DirectSpeech
Ah ! c'est la fin pour moi, voyez-vous ! J'ai vu partir ma femme..., mon fils après..., et voilà ma fille, aujourd'hui !	DirectSpeech
n'ayez peur ! vous recevrez toujours votre dinde.	DirectSpeech
-- Bonsoir, Chourineur [Note	DirectSpeech
-- C'est toi, la Goualeuse [Note	DirectSpeech
tu vas me payer l'eau d'aff [Note : l'eau-de-vie], ou je te fais danser sans violons !	DirectSpeech
-- Je n'ai pas d'argent,	DirectSpeech
; car cet homme inspirait une grande terreur dans le quartier.	DirectSpeech
-- Si ta filoche est à jeun [Note	DirectSpeech
l'ogresse du tapis-franc te fera crédit sur ta bonne mine.	DirectSpeech
-- Mon Dieu ! je lui dois le loyer des vêtements que je porte...	DirectSpeech
-- Ah ! tu raisonnes ?	DirectSpeech
-- Ça n'est rien que ça, ma fille ; c'est pour t'avertir...	DirectSpeech
Je suis piqué à l'aileron ; tu m'as égratigné avec tes ciseaux.	DirectSpeech
-- N'approche pas, ou je te crève les ardents avec mes fauchants [Note	DirectSpeech
ne t'avais rien fait, pourquoi m'as-tu battue ?	DirectSpeech
-- Je vais te dire ça,	DirectSpeech
Ah ! je te tiens ! et tu vas la danser ! ajouta-t-il en	DirectSpeech
-- C'est toi qui vas danser !	DirectSpeech
-- Un homme ! Est-ce toi, Bras-Rouge ? réponds donc et ne serre pas si fort... j'entre dans l'allée de ta maison... ça peut bien être toi...	DirectSpeech
-- Ça n'est pas Bras-Rouge,	DirectSpeech
-- Bon, puisque ça n'est pas un ami, il va y avoir du raisiné par terre [Note	DirectSpeech
à qui donc la petite patte que je tiens là ?	DirectSpeech
-- C'est la pareille de celle-ci.	DirectSpeech
-- Mais vous ne m'entendez donc pas ? Je vous dis que c'est le Chourineur !	DirectSpeech
-- Et moi je suis un ferlampier qui n'est pas frileux [Note	DirectSpeech
-- Mais tu veux donc que je t'escarpe [Note	DirectSpeech
Bon, bon, tu vas payer pour la Goualeuse et pour toi, ajouta-t-il	DirectSpeech
-- Payer en monnaie de coups de poing, oui,	DirectSpeech
-- Si tu ne lâches pas ma cravate, je te mange le nez,	DirectSpeech
-- J'ai le nez trop petit, mon homme, et tu n'y vois pas clair !	DirectSpeech
-- Alors, viens sous le pendu glacé [Note	DirectSpeech
-- Viens,	DirectSpeech
nous nous y regarderons le blanc des yeux.	DirectSpeech
Mon linge est lavé [Note	DirectSpeech
-- S'il renonce, ne l'achevez pas, ayez pitié de lui !	DirectSpeech
-- Prenez garde !	DirectSpeech
prenez garde, il va peut-être vouloir se revenger !	DirectSpeech
-- Sois tranquille, ma fille, s'il en veut encore, j'ai de quoi le servir.	DirectSpeech
-- J'ai la coloquinte en bringues,	DirectSpeech
